Job ID,Start Time,End Time,Remaining Burst Time,State
1,0,10,0,TERMINATED
2,10,25,0,TERMINATED
3,25,45,0,TERMINATED
4,45,70,0,TERMINATED
5,70,82,0,TERMINATED
6,82,112,0,TERMINATED
7,112,130,0,TERMINATED
8,130,152,0,TERMINATED
9,152,168,0,TERMINATED
10,168,182,0,TERMINATED
11,182,210,0,TERMINATED
12,210,234,0,TERMINATED
13,234,253,0,TERMINATED
14,253,264,0,TERMINATED
15,264,277,0,TERMINATED
16,277,298,0,TERMINATED
17,298,325,0,TERMINATED
18,325,351,0,TERMINATED
19,351,368,0,TERMINATED
20,368,391,0,TERMINATED
21,391,420,0,TERMINATED
22,420,440,0,TERMINATED
23,440,465,0,TERMINATED
24,465,477,0,TERMINATED
25,477,491,0,TERMINATED
