Job ID,Start Time,End Time,Remaining Burst Time,State
1,0,8,2,READY
2,8,16,7,READY
3,16,24,12,READY
4,24,32,17,READY
5,32,40,4,READY
1,40,42,0,TERMINATED
2,42,49,0,TERMINATED
3,49,57,4,READY
4,57,65,9,READY
5,65,69,0,TERMINATED
6,69,77,22,READY
7,77,85,10,READY
8,85,93,14,READY
3,93,97,0,TERMINATED
4,97,105,1,READY
9,105,113,8,READY
6,113,121,14,READY
7,121,129,2,READY
8,129,137,6,READY
10,137,145,6,READY
4,145,146,0,TERMINATED
9,146,154,0,TERMINATED
6,154,162,6,READY
7,162,164,0,TERMINATED
8,164,170,0,TERMINATED
10,170,176,0,TERMINATED
11,176,184,20,READY
12,184,192,16,READY
13,192,200,11,READY
14,200,208,3,READY
15,208,216,5,READY
6,216,222,0,TERMINATED
16,222,230,13,READY
17,230,238,19,READY
18,238,246,18,READY
19,246,254,9,READY
20,254,262,15,READY
11,262,270,12,READY
12,270,278,8,READY
13,278,286,3,READY
14,286,289,0,TERMINATED
15,289,294,0,TERMINATED
16,294,302,5,READY
21,302,310,21,READY
22,310,318,12,READY
23,318,326,17,READY
24,326,334,4,READY
17,334,342,11,READY
18,342,350,10,READY
19,350,358,1,READY
20,358,366,7,READY
11,366,374,4,READY
12,374,382,0,TERMINATED
13,382,385,0,TERMINATED
25,385,393,6,READY
16,393,398,0,TERMINATED
21,398,406,13,READY
22,406,414,4,READY
23,414,422,9,READY
24,422,426,0,TERMINATED
17,426,434,3,READY
18,434,442,2,READY
19,442,443,0,TERMINATED
20,443,450,0,TERMINATED
11,450,454,0,TERMINATED
25,454,460,0,TERMINATED
21,460,468,5,READY
22,468,472,0,TERMINATED
23,472,480,1,READY
17,480,483,0,TERMINATED
18,483,485,0,TERMINATED
21,485,490,0,TERMINATED
23,490,491,0,TERMINATED
